Player,Team,Status,Cap Hit (M$)
Zayne Parekh,CGY,DJCarrot,0.9425
Brady Tkachuk,OTT,DJCarrot,8.205714
Shayne Gostisbehere,CAR,DJCarrot,3.2
Benjamin Kindel,PIT,DJCarrot,0.975
Lukas Dostal,ANA,DJCarrot,6.5
Cole Perfetti,WPG,DJCarrot,3.25
Jake OBrien,SEA,DJCarrot,0.975
Owen Power,BUF,DJCarrot,8.35
Porter Martone,PHI,DJCarrot,0.775
Cale Makar,COL,DJCarrot,9.0
Cutter Gauthier,ANA,DJCarrot,0.95
Wyatt Johnston,DAL,DJCarrot,8.4
Konsta Helenius,BUF,DJCarrot,0.9425
Kirill Marchenko,CBJ,DJCarrot,3.85
,,TOTAL POUR DJCarrot,125.92
Ryan Leonard,WSH,DaddyX23,0.95
Braeden Cootes,VAN,DaddyX23,0.975
Brandon Montour,SEA,DaddyX23,7.142857
Mackenzie Blackwood,COL,DaddyX23,5.25
Owen Tippett,PHI,DaddyX23,6.2
Jakub Dobes,MTL,DaddyX23,0.965
Martin Necas,COL,DaddyX23,6.5
Igor Shesterkin,NYR,DaddyX23,11.5
Seth Jarvis,CAR,DaddyX23,7.420087
Spencer Knight,CHI,DaddyX23,4.5
Artturi Lehkonen,COL,DaddyX23,4.5
Conor Garland,VAN,DaddyX23,4.95
Noah Dobson,MTL,DaddyX23,9.5
Kyle Connor,WPG,DaddyX23,7.142857
Carter Bear,DET,DaddyX23,0.975
Michael Hage,MTL,DaddyX23,0.775
Brenden Dillon,NJD,DaddyX23,4.0
Kaiden Guhle,MTL,DaddyX23,5.55
Sam Bennett,FLA,DaddyX23,8.0
Connor McMichael,WSH,DaddyX23,2.1
Mikhail Sergachev,UTA,DaddyX23,8.5
Mavrik Bourque,DAL,DaddyX23,0.95
Radim Mrtka,BUF,DaddyX23,0.975
Caleb Desnoyers,UTA,DaddyX23,0.775
Carter Verhaeghe,FLA,DaddyX23,7.0
Tij Iginla,UTA,DaddyX23,0.9425
Roger McQueen,ANA,DaddyX23,0.775
Florian Xhekaj,MTL,DaddyX23,0.866667
,,TOTAL POUR DaddyX23,119.68
Filip Hronek,VAN,Doumi,7.25
Quinn Hughes,VAN,Doumi,7.85
Seamus Casey,NJD,Doumi,0.95
Calum Ritchie,NYI,Doumi,0.918333
Matt Boldy,MIN,Doumi,0.775
Filip Forsberg,NSH,Doumi,8.5
Aliaksei Protas,WSH,Doumi,3.375
Clayton Keller,UTA,Doumi,7.15
Gabriel Vilardi,WPG,Doumi,7.5
J.T. Miller,NYR,Doumi,8.0
Alexander Nikishin,CAR,Doumi,0.925
Zach Benson,BUF,Doumi,0.95
Erik Karlsson,PIT,Doumi,11.5
Ukko-Pekka Luukkonen,BUF,Doumi,4.75
Rasmus Dahlin,BUF,Doumi,11.0
William Eklund,SJS,Doumi,0.863333
Roman Josi,NSH,Doumi,9.059
Kirill Kaprizov,MIN,Doumi,9.0
Lynden Lakovic,WSH,Doumi,0.975
Logan Hensler,OTT,Doumi,0.775
Elias Pettersson,VAN,Doumi,11.6
Juuse Saros,NSH,Doumi,7.74
Linus Ullmark,OTT,Doumi,8.25
Tage Thompson,BUF,Doumi,7.142857
Axel Sandin Pellikka,DET,Doumi,0.918333
,,TOTAL POUR Doumi,137.72
Jared McCann,SEA,Fred_Lan,5.0
Nick Schmaltz,UTA,Fred_Lan,5.85
Michael Misa,SJS,Fred_Lan,0.975
John Klingberg,SJS,Fred_Lan,4.0
Neal Pionk,WPG,Fred_Lan,7.0
Cameron Reid,NSH,Fred_Lan,0.775
Adrian Kempe,LAK,Fred_Lan,5.5
Aaron Ekblad,FLA,Fred_Lan,6.1
Mark Scheifele,WPG,Fred_Lan,8.5
Jake Walman,EDM,Fred_Lan,3.4
Connor Hellebuyck,WPG,Fred_Lan,8.5
Mark Stone,VGK,Fred_Lan,9.5
Beckett Sennecke,ANA,Fred_Lan,0.9425
Dougie Hamilton,NJD,Fred_Lan,9.0
Alex Tuch,BUF,Fred_Lan,4.75
Noah Hanifin,VGK,Fred_Lan,7.35
Brayden Yager,WPG,Fred_Lan,0.918333
Anton Silayev,NJD,Fred_Lan,0.775
Cole Reschny,CGY,Fred_Lan,0.775
Emil Heineman,NYI,Fred_Lan,1.1
Cole Eiserman,NYI,Fred_Lan,0.775
Carter Yakemchuk,OTT,Fred_Lan,0.9425
Sebastian Aho,CAR,Fred_Lan,9.75
Danila Yurov,MIN,Fred_Lan,0.95
Filip Gustavsson,MIN,Fred_Lan,3.75
Cayden Lindstrom,CBJ,Fred_Lan,0.775
Jimmy Snuggerud,STL,Fred_Lan,0.95
Jake Neighbours,STL,Fred_Lan,3.75
,,TOTAL POUR Fred_Lan,112.35
Scott Wedgewood,COL,MagicFac,1.5
Sergei Bobrovsky,FLA,MagicFac,10.0
Brayden Point,TBL,MagicFac,9.5
Lian Bichsel,DAL,MagicFac,0.918333
Darnell Nurse,EDM,MagicFac,9.25
Dylan Larkin,DET,MagicFac,8.7
Quinton Byfield,LAK,MagicFac,6.25
Mikko Rantanen,DAL,MagicFac,12.0
Evgeni Malkin,PIT,MagicFac,6.1
Henry Brzustewicz,LAK,MagicFac,0.775
Dylan Strome,WSH,MagicFac,5.0
Joey Daccord,SEA,MagicFac,0.775
Oliver Kapanen,MTL,MagicFac,0.925
Cole Caufield,MTL,MagicFac,7.85
Alexander Zharovsky,MTL,MagicFac,0.775
Zach Werenski,CBJ,MagicFac,9.583333
Jagger Firkus,SEA,MagicFac,0.891666
Akira Schmid,VGK,MagicFac,0.875
Jordan Kyrou,STL,MagicFac,8.125
Mitch Marner,VGK,MagicFac,0.775
Tyson Foerster,PHI,MagicFac,3.75
Brandt Clarke,LAK,MagicFac,0.863334
Ivan Ryabkin,CAR,MagicFac,0.918333
Jakob Chychrun,WSH,MagicFac,9.0
,,TOTAL POUR MagicFac,115.10
Sebastian Cossa,DET,Mando18,0.863334
Alexander Romanov,NYI,Mando18,6.25
Artyom Levshunov,CHI,Mando18,0.975
Jackson Smith,CBJ,Mando18,0.775
Yaroslav Askarov,SJS,Mando18,2.0
Pierre-Luc Dubois,WSH,Mando18,8.5
Ryker Lee,NSH,Mando18,0.775
Victor Eklund,NYI,Mando18,0.975
Zeev Buium,MIN,Mando18,0.966667
Jake Sanderson,OTT,Mando18,8.05
Elvis Merzlikins,CBJ,Mando18,5.4
Mason McTavish,ANA,Mando18,7.0
Shane Wright,SEA,Mando18,0.886666
Brock Nelson,COL,Mando18,7.5
Cam Talbot,DET,Mando18,2.5
Jake Guentzel,TBL,Mando18,9.0
Seth Jones,FLA,Mando18,9.5
Pavel Buchnevich,STL,Mando18,8.0
Luke Hughes,NJD,Mando18,9.0
Leo Carlsson,ANA,Mando18,0.95
Jack Hughes,NJD,Mando18,8.0
Jeremy Swayman,BOS,Mando18,8.25
Mike Matheson,MTL,Mando18,4.875
Nathan MacKinnon,COL,Mando18,12.6
Robert Thomas,STL,Mando18,8.125
Macklin Celebrini,SJS,Mando18,0.975
,,TOTAL POUR Mando18,132.69
Denton Mateychuk,CBJ,Olilapat,0.886666
Bowen Byram,BUF,Olilapat,6.25
Jack Nesbitt,PHI,Olilapat,0.775
Berkly Catton,SEA,Olilapat,0.9425
Arturs Silovs,PIT,Olilapat,0.85
Connor Bedard,CHI,Olilapat,0.95
Joseph Woll,TOR,Olilapat,3.666667
Jackson Blake,CAR,Olilapat,0.905833
Cameron Schmidt,DAL,Olilapat,0.775
Dmitry Voronkov,CBJ,Olilapat,0.775
Daniel Vladar,PHI,Olilapat,0.775
Will Cuylle,NYR,Olilapat,0.775
Sascha Boumedienne,WPG,Olilapat,0.775
Jacob Fowler,MTL,Olilapat,0.923333
Shane Pinto,OTT,Olilapat,3.75
Simon Nemec,NJD,Olilapat,0.918333
Cole Hutson,WSH,Olilapat,0.775
Bradly Nadeau,CAR,Olilapat,0.918333
Jiri Kulich,BUF,Olilapat,0.886666
Juraj Slafkovsky,MTL,Olilapat,7.6
Olen Zellweger,ANA,Olilapat,0.844167
Noah Laba,NYR,Olilapat,0.87
Simon Edvinsson,DET,Olilapat,0.894167
Travis Sanheim,PHI,Olilapat,6.25
Dylan Guenther,UTA,Olilapat,7.142875
Matvei Michkov,PHI,Olilapat,0.95
Dylan Holloway,STL,Olilapat,2.290457
,,TOTAL POUR Olilapat,54.11
Josh Morrissey,WPG,Pleka,6.25
Karel Vejmelka,UTA,Pleka,4.75
Victor Hedman,TBL,Pleka,8.0
Roope Hintz,DAL,Pleka,8.45
Dawson Mercer,NJD,Pleka,4.0
Shea Theodore,VGK,Pleka,7.425
Connor McDavid,EDM,Pleka,12.5
Logan Mailloux,STL,Pleka,0.875
Andrei Vasilevskiy,TBL,Pleka,9.5
Sam Reinhart,FLA,Pleka,8.625
Sidney Crosby,PIT,Pleka,8.7
Kent Johnson,CBJ,Pleka,1.8
Charlie McAvoy,BOS,Pleka,9.5
Brock Boeser,VAN,Pleka,7.25
KAndre Miller,CAR,Pleka,7.5
Artemi Panarin,NYR,Pleka,11.642857
Matty Beniers,SEA,Pleka,0.775
Vince Dunn,SEA,Pleka,7.35
Emmitt Finnie,DET,Pleka,0.821667
Leon Draisaitl,EDM,Pleka,14.0
Yegor Surin,NSH,Pleka,0.775
Ilya Sorokin,NYI,Pleka,8.25
